Gen;BOKU_1;BOKU_2;BOKU_3;BOKU_4;SKG-I_1;SKG-I_2;SKG-I_3;SKG-I_4
152;278,91440;311,66750;370,35760;336,16330;801,90630;823,18570;622,12100;620,77280
153;12,72726;3,43335;31,73968;17,14960;1,72194;5,99531;24,81171;7,26847
154;98,18135;126,23570;89,12569;75,60114;326,28470;282,27450;480,60390;546,94170
155;36,52174;35,92460;42,19103;86,45921;134,60920;67,05747;322,15750;310,11620
156;181,58210;191,14610;557,11550;559,56060;249,25860;218,87560;431,79500;419,71150
157;271,14340;268,47070;241,24570;172,84540;622,93490;636,29680;654,31500;573,68230
158;1.264,32800;1.267,57600;1.962,48900;1.662,20800;1.466,25700;1.579,29000;2.003,01100;1.991,87500
159;8,80216;10,38554;1,45249;1,03335;1.367,54000;1.104,69900;7.383,01100;7.000,96000
160;107,57970;82,64737;191,12340;149,12060;167,55030;146,02630;254,82950;174,11350
161;2,76982;12,57364;1,00000;10,70083;1,00000;1,00000;1,27431;1,00000
162;5.153,24100;5.295,30000;3.872,38600;4.039,06000;6.217,43900;6.417,93800;4.105,11500;4.300,10700
163;1.533,69700;1.433,20500;1.522,99600;1.602,98700;865,03760;946,31730;1.199,66800;1.106,62100
164;70,48675;114,35370;76,52837;121,61420;34,62421;24,26899;30,84818;23,45535
165;4.359,83900;3.685,80300;5.028,31700;4.147,92700;4.905,03800;4.209,74100;4.807,52300;4.629,06100
166;1,00000;1,49923;3,31846;13,23302;1,08876;6,55967;1,98255;10,12329
167;112,93650;86,90330;77,31179;82,88466;77,42919;109,84800;86,63480;64,97083
168;3,87902;2,90990;4,98998;20,41487;1,58309;5,16376;1,78428;25,45359
169;13,27059;7,78325;1,80227;1,73154;4,40473;15,45361;5,10877;2,25956
170;108,61580;135,41210;79,24069;105,48180;90,21439;64,47824;118,18340;129,21760
171;17,78962;29,12528;35,63964;30,72153;6,81682;26,01836;7,20094;12,95459
172;53,62028;89,74757;135,41570;175,67730;98,69872;49,48314;228,02590;233,15190
173;21,56580;22,20059;21,65962;4,80156;29,61656;80,05129;60,87903;84,13438
174;359,55470;343,58550;319,10920;252,31420;475,52360;519,22710;476,10580;550,62780
175;73,57241;75,06397;155,41550;207,64510;75,32463;113,76670;129,52930;164,08540
176;15,15314;5,21240;35,64846;2,55588;1,84758;6,05232;1,30029;14,45490
177;190,28270;320,72200;502,79580;528,34340;601,96480;440,15500;715,65660;818,38590
178;3,77200;4,69226;9,08428;1,90770;3,63439;7,14077;3,67749;3,97000
179;64,86460;86,86143;67,80706;48,62944;101,33840;77,05784;107,51300;122,96050
180;6,21502;6,03790;6,47252;33,42923;88,89857;81,16512;48,85428;40,03467
181;219,14760;156,83330;280,50950;167,26440;129,84970;96,48881;140,96390;113,70620
182;1.396,99400;1.347,11300;1.235,08900;1.159,57100;1.828,52800;1.669,22600;2.018,94400;1.975,28400
183;31,07657;60,74857;51,48340;10,69104;49,20229;9,96936;6,84813;58,41486
184;2,49727;11,25531;5,54254;13,99681;410,60540;410,70820;305,40780;263,58460
185;34,29828;8,07317;7,51758;6,73820;54,00188;37,34439;69,86346;78,30376
186;2,28244;7,32783;2,06540;3,09026;2,87054;4,58733;2,52354;3,07858
